"time","cases"
1943.02806297057,"NA"
1943.06639288159,"NA"
1943.10472279261,"NA"
1943.14305270363,"NA"
1943.18138261465,"NA"
1943.21971252567,"NA"
1943.25804243669,"NA"
1943.29637234771,"NA"
1943.33470225873,"NA"
1943.37303216975,"NA"
1943.41136208077,"NA"
1943.44969199179,"NA"
1943.48802190281,"NA"
1943.52635181383,"NA"
1943.56468172485,"NA"
1943.60301163587,"NA"
1943.64134154689,"NA"
1943.67967145791,"NA"
1943.71800136893,"NA"
1943.75633127995,"NA"
1943.79466119097,"NA"
1943.83299110199,"NA"
1943.871321013,"NA"
1943.90965092402,"NA"
1943.94798083504,"NA"
1943.98631074606,"NA"
1944.03832991102,180
1944.07665982204,271
1944.11498973306,423
1944.15331964408,465
1944.1916495551,523
1944.22997946612,649
1944.26830937714,624
1944.30663928816,556
1944.34496919918,420
1944.3832991102,423
1944.42162902122,488
1944.45995893224,441
1944.49828884326,268
1944.53661875428,260
1944.5749486653,163
1944.61327857632,83
1944.65160848734,60
1944.68993839836,41
1944.72826830938,48
1944.7665982204,65
1944.80492813142,82
1944.84325804244,145
1944.88158795346,122
1944.91991786448,194
1944.9582477755,237
1944.99657768652,318
1945.03490759754,450
1945.07323750856,671
1945.11156741958,1387
1945.1498973306,1617
1945.18822724162,2058
1945.22655715264,3099
1945.26488706366,3340
1945.30321697468,2965
1945.34154688569,1873
1945.37987679671,1641
1945.41820670773,1122
1945.45653661875,884
1945.49486652977,591
1945.53319644079,427
1945.57152635181,282
1945.60985626283,174
1945.64818617385,127
1945.68651608487,84
1945.72484599589,97
1945.76317590691,68
1945.80150581793,88
1945.83983572895,79
1945.87816563997,58
1945.91649555099,85
1945.95482546201,75
1945.99315537303,121
1946.03148528405,174
1946.06981519507,209
1946.10814510609,458
1946.14647501711,742
1946.18480492813,929
1946.22313483915,1027
1946.26146475017,1411
1946.29979466119,1885
1946.33812457221,2110
1946.37645448323,1764
1946.41478439425,2001
1946.45311430527,2154
1946.49144421629,1843
1946.52977412731,1427
1946.56810403833,970
1946.60643394935,726
1946.64476386037,416
1946.68309377139,218
1946.72142368241,160
1946.75975359343,160
1946.79808350445,188
1946.83641341547,224
1946.87474332649,298
1946.91307323751,436
1946.95140314853,482
1946.98973305955,468
1947.02806297057,650
1947.06639288159,796
1947.10472279261,1065
1947.14305270363,1241
1947.18138261465,1230
1947.21971252567,1012
1947.25804243669,981
1947.29637234771,1015
1947.33470225873,771
1947.37303216975,1031
1947.41136208077,1093
1947.44969199179,1196
1947.48802190281,1076
1947.52635181383,1029
1947.56468172485,828
1947.60301163587,669
1947.64134154689,372
1947.67967145791,171
1947.71800136893,84
1947.75633127995,71
1947.79466119097,113
1947.83299110199,108
1947.871321013,188
1947.90965092402,241
1947.94798083504,305
1947.98631074606,248
1948.02464065708,477
1948.0629705681,524
1948.10130047912,851
1948.13963039014,1415
1948.17796030116,2235
1948.21629021218,2973
1948.2546201232,3144
1948.29295003422,3169
1948.33127994524,2248
1948.36960985626,1976
1948.40793976728,2128
1948.4462696783,1901
1948.48459958932,1635
1948.52292950034,1265
1948.56125941136,1154
1948.59958932238,887
1948.6379192334,476
1948.67624914442,269
1948.71457905544,171
1948.75290896646,185
1948.79123887748,157
1948.8295687885,205
1948.86789869952,231
1948.90622861054,262
1948.94455852156,333
1948.98288843258,290
1949.0212183436,612
1949.05954825462,677
1949.09787816564,983
1949.13620807666,1586
1949.17453798768,1912
1949.2128678987,2265
1949.25119780972,2761
1949.28952772074,3388
1949.32785763176,3240
1949.36618754278,2278
1949.4045174538,2058
1949.44284736482,1884
1949.48117727584,1521
1949.51950718686,1237
1949.55783709788,869
1949.5961670089,576
1949.63449691992,381
1949.67282683094,212
1949.71115674196,108
1949.74948665298,90
1949.787816564,72
1949.82614647502,103
1949.86447638604,61
1949.90280629706,51
1949.94113620808,57
1949.9794661191,66
1950.01779603012,90
1950.05612594114,90
1950.09445585216,66
