S,E,I,R,H
73766.3428,601.24905,455.8389,2369778.6737400806,278271.4167
75495.9635,561.96735,348.61625,2378914.7266400927,983.04805
78365.33545,386.8039,231.36725,2387056.936390582,528.04145
79962.02275,518.70365,308.0416,2395973.981389007,694.02695
81059.2236,754.9872,446.1914,2405225.674551674,998.7989
81985.6232,971.57735,572.2709,2414684.8768247804,1272.816
82535.4707,1215.9956,715.24445,2424479.4840589175,1586.70135
82580.1806,1520.11295,895.23495,2434687.745432872,1985.5116
83586.8618,1017.5259,753.34335,2445070.2696372736,2140.65055
84351.4686,1181.8321,694.8928,2454948.536383291,1646.8451
84647.31085,1372.8551,804.25735,2465114.274614747,1775.00975
84580.35065,1545.2972,907.051,2475669.220804844,2005.0414
84083.3453,1837.9977,1083.24925,2486480.897770721,2403.4901
83050.29965,2210.1593,1310.10015,2497698.5012865346,2927.58825
81364.2033,2638.0686,1578.9262,2509494.3824307085,3566.7028
81085.28285,1831.6581,1380.7218,2521587.4515328105,3940.30095
81870.0706,1228.16785,933.12,2532684.8145235116,2913.89005
83201.71075,837.15545,634.2704,2542882.894565946,1976.1088
84922.3601,578.642,435.3409,2552478.1278733793,1348.68715
86150.338,804.5754,476.08265,2561858.0185139948,1095.98325
87094.2008,1008.5136,594.41195,2571480.5514144064,1324.3603
87637.4458,1253.92515,738.45245,2581461.444603457,1639.626
88487.1521,1022.4675,746.4817,2591756.8958690106,1943.95715
88956.12985,1342.4607,788.4713,2601882.9331605337,1787.7325
88982.97145,1573.3839,924.39035,2612446.886913663,2045.1545
88523.7,1750.33375,1033.01565,2623625.349716518,2293.08465
88766.7209,1330.79855,975.0165,2634864.629669372,2551.55965
89608.46935,1195.77325,727.42515,2645449.548856634,2028.5059
89713.331,1482.27945,874.34285,2655962.836855356,1950.61975
89219.41805,1822.63525,1078.68295,2666979.960748587,2405.6614
87350.91655,2370.09515,1414.92465,2679040.88894968,3192.09995
84782.03995,2892.8284,1749.9677,2691826.6344109247,4008.9282
81377.9168,3382.79635,2081.7036,2705482.1618045187,4874.8117
76820.63355,3931.3574,2476.9013,2720159.0968242176,5973.3829
74479.95215,2648.43095,2103.42195,2735198.696948901,6288.3876
73084.56605,2424.53085,1581.02905,2748374.57895277,4461.98985
71509.32185,2383.25595,1555.5551,2761000.9147989377,3969.13695
70115.78015,2270.0036,1495.71465,2773551.892094829,3862.12545
69098.03265,2071.90895,1374.8259,2785789.9002344725,3589.55255
68411.02525,1834.2042,1225.1463,2797762.889692034,3226.1392
67966.635,1562.7267,1047.93205,2809464.5204306818,2781.63925
68531.17735,882.60045,726.05295,2820687.2610873454,2253.33735
70048.54925,459.7376,383.9373,2830632.714959666,1347.6479
71997.5628,249.76535,207.3029,2839714.6907044277,723.74115
