S,E,I,R,H
73768.80585,601.6145,456.1452,2369775.5389400804,278270.4073
75497.43325,562.3579,348.7784,2378912.7041900926,983.8868
78355.4164,387.98175,231.7851,2387065.2597405817,529.8512
80012.1783,518.02535,307.3091,2395925.236639007,692.23695
81112.97465,755.0352,446.0268,2405172.0401016744,997.66155
82034.3044,972.7941,572.5287,2414634.7210747804,1274.28055
82586.67305,1216.95835,715.7485,2424426.8149089175,1586.65225
82630.8786,1522.5027,896.2625,2434633.6301328717,1988.3469
83634.05705,1019.1541,753.9138,2445020.8757372736,2142.34275
84360.48495,1181.4655,694.3761,2454940.403333291,1645.99175
84759.7371,1356.1972,794.71305,2465028.0505647473,1752.66405
85194.83075,1547.70665,906.39225,2475052.990004844,1994.57985
84961.3015,1896.2748,1112.6246,2485515.2891207207,2453.6799
83899.96635,2340.0914,1381.3938,2496647.6088365344,3066.1855
81899.64525,2854.8239,1703.4599,2508617.651480709,3827.6311
81293.83185,2010.31775,1513.06565,2521067.899032811,4310.0945
81831.18455,1356.5447,1030.8648,2532497.5789235113,3216.60805
82977.18395,927.70545,702.87885,2542948.2629159456,2191.5773
84548.1709,641.2235,483.15605,2552741.9204233787,1499.05765
85576.37415,887.41555,526.6075,2562298.6173639945,1216.44755
86268.02525,1104.7926,653.82965,2572151.0302644065,1463.09865
86493.80475,1356.62725,802.7928,2582438.0432034577,1794.36525
87010.6736,1083.58675,795.41525,2593123.321569011,2086.71815
87093.7303,1360.89125,806.3637,2603709.009760533,1850.52155
87077.2297,1551.16445,919.566,2614379.672463663,2060.73635
86839.8365,1787.6058,1061.7646,2625243.192216518,2386.0322
87082.589,1401.581,1033.6409,2636419.354719372,2728.55845
87936.2828,1247.2258,765.10055,2647032.6074566343,2154.43025
88119.5422,1514.78055,899.6344,2657498.8330053557,2028.1254
87683.4531,1827.67945,1089.44975,2668500.1146985865,2454.0367
85933.61905,2313.91755,1390.6503,2680538.638399681,3166.7482
83544.8748,2777.89175,1690.72325,2693237.9806609238,3907.62855
80383.53255,3208.7197,1984.717,2706747.609304518,4683.1942
76108.34115,3611.3086,2284.67445,2721383.664874218,5548.7349
74070.69715,2403.06485,1912.6146,2736044.125398901,5741.8368
72956.65655,2201.1348,1437.272,2748869.64155277,4066.5073
71680.1638,2179.61615,1422.1588,2761167.1089489376,3628.29695
70530.70535,2103.84435,1382.9462,2773415.894594829,3564.86425
69638.40755,1950.9718,1291.35365,2785453.9347344725,3361.85495
69076.7263,1764.4395,1173.94365,2797218.1559920344,3078.056
68894.3598,1571.8559,1048.38195,2808527.216530682,2763.02385
69752.97295,943.26635,770.8855,2819359.967037346,2373.7405
71430.64235,509.36885,422.59645,2829162.331459666,1471.8151
73422.94355,282.4573,232.38655,2838231.534354428,805.43145
75600.92765,157.4459,128.41285,2846851.7081908677,440.47415
77734.87225,151.48755,97.7118,2855230.335665248,261.21395
79764.3398,149.19335,95.0326,2863628.3669564785,236.6175
81791.05855,137.26415,86.73875,2871901.7389973756,213.1574
83834.6696,105.6584,80.05345,2880154.3240723433,214.27215
85876.6082,107.5739,66.90955,2888179.861720949,169.22625
87896.39055,108.99025,67.0983,2896214.7221194883,159.61045
89880.4307,136.24545,83.20095,2904011.4410131094,195.4635
91880.8911,109.58935,80.8942,2911844.996458982,207.93535
93921.70675,105.70305,66.8558,2919421.3311277074,196.8702
95849.00465,182.40965,109.01775,2926905.78117463,249.18475
97664.69365,310.8281,184.35535,2934255.503994072,415.41345
99038.82575,492.73325,291.1707,2941842.9229870653,650.76055
99767.20735,730.68115,430.7147,2949874.049657037,958.0116
99924.05385,1044.5535,615.9769,2958186.42021861,1369.2507
99421.65935,1427.7834,844.2439,2966981.1236738283,1884.5385
98939.90245,1229.2861,909.71295,2976280.765360422,2452.3616
98417.0532,1399.90955,841.90645,2985370.3825797075,2181.67405
96844.6528,1863.86045,1116.8695,2994603.655406782,2538.914
94844.07385,2336.0831,1413.02305,3004235.644537037,3241.99815
92022.21655,2807.7727,1719.7202,3014426.807210534,4007.5378
88668.44465,3186.3137,1980.9343,3025253.9651428973,4711.7195
85298.7951,3395.0965,2145.0704,3036160.5386582846,5209.47635
83585.7153,2387.7939,1871.57195,3046979.3403134416,5344.1684
83865.236,1411.2289,1135.6116,3056083.311952357,3791.5292
84948.44655,847.4531,680.2232,3063554.390990123,2278.38695
86469.3196,513.49215,410.19745,3070068.5691331276,1366.42295
87846.70035,529.58775,335.3722,3075993.672921334,884.95355
89083.425,555.1784,348.16335,3081908.7018530415,846.3297
90249.74215,567.21195,354.41395,3087674.909850588,856.14415
91653.4551,437.4729,324.35675,3093379.172799651,838.88045
93260.6653,424.648,263.026,3098502.4068716364,669.38795
94512.95905,480.1505,295.28905,3103818.6361959837,698.1839
95277.63895,616.91615,377.9034,3109243.677831757,889.54265
96180.6235,576.91575,421.69885,3114697.091098647,1067.1918
97542.6171,450.66535,295.1877,3119752.2335412814,900.0397
98251.5433,630.964,383.415,3124838.600510212,896.6212
98662.03755,894.3171,541.99955,3129928.159585897,1253.9391
98332.3693,1196.83765,726.46825,3135543.194366303,1682.8318
97535.25335,1484.55075,904.64,3141557.638801125,2102.9916
96441.4902,1762.9003,1079.80455,3147684.987809638,2525.1664
95158.6821,1999.3939,1230.99405,3154028.594470759,2900.70705
94681.2957,1498.9129,1141.60175,3160303.905814026,3148.48975
94844.43195,1362.53115,856.1041,3165770.700607039,2397.2245
94558.9474,1509.62915,934.84565,3170775.3007613206,2227.49005
93698.7841,1686.0759,1047.75605,3176281.3177497415,2503.3093
92638.346,1848.7719,1154.1993,3181797.139525657,2774.5086
91339.37855,1995.9253,1253.63775,3187518.0926712663,3035.15975
90041.57415,2094.13765,1323.0948,3193156.3643360953,3230.7942
89558.8801,1542.60365,1191.9804,3198729.858550398,3305.57365
90442.67795,911.666,726.4949,3203238.2802163702,2396.8195
91816.70455,549.9239,436.8138,3206669.6103104637,1442.8872
93437.0428,333.7665,263.3788,3209526.366501943,865.61265
94948.9432,331.11085,206.9763,3211979.446983477,547.26715
96402.5124,344.76355,213.04855,3214389.4065120677,508.85415
97882.25215,348.89795,214.53945,3216568.1609459366,507.1761
99481.5875,279.20465,200.68295,3218716.4948788355,495.5935
101051.97045,259.103,158.0621,3220656.2899733824,400.1455
102364.9123,311.46365,188.335,3222689.238316528,435.3982
103540.8328,405.99215,244.30175,3224620.3291948764,561.0153
104637.301,422.65495,298.65935,3226651.9761134,719.4045
105985.2639,285.19685,199.51445,3228612.357755936,613.2386
107061.602,471.0368,280.0111,3230245.879122219,643.6475
107450.09055,705.19075,418.68685,3232375.123997797,940.4976
107358.34985,1015.47855,602.946,3234732.988210889,1354.58925
106705.3519,1440.9108,857.84465,3237419.9260591245,1932.7535
105506.81245,1786.42,1067.82665,3240615.7742820396,2417.1993
103652.26135,2175.8398,1309.63545,3244382.0647519333,2989.8056
100170.97205,2153.13755,1595.5136,3249952.762749701,4108.4089
98896.78495,1899.17,1207.86815,3254221.1474501295,3527.5501
96833.26655,2207.393,1367.08065,3258001.3247189913,3257.0557
94304.24935,2471.4015,1546.4967,3262246.9417077997,3716.3466
91432.8269,2674.84535,1693.4629,3266798.3797503035,4137.1897
88607.29635,2760.98385,1770.00985,3271436.3440441145,4397.44
85975.68505,2739.5396,1777.972,3275963.183850889,4488.49335
84335.866,2072.7139,1605.96915,3280239.7006128016,4402.09105
84614.8312,1155.47155,949.49665,3283272.5069293184,3232.627
85566.10555,661.36625,542.26305,3284850.8457239126,1866.12705
86905.6214,381.21085,311.08745,3285622.017294964,1064.2746
88289.3142,327.12735,213.87925,3285855.950636612,624.03245
89577.1886,322.23185,206.77175,3286045.7249051253,519.8517
90783.53145,317.1289,202.5824,3286160.724107435,504.65225
92015.98135,272.0509,190.91055,3286297.07380881,477.20065
93332.98415,234.80675,149.8928,3286248.6277456465,414.5422
94537.74355,273.10295,171.5162,3286149.368921262,418.9444
95640.55745,336.12055,210.50335,3286018.7684618565,509.0774
96643.60055,376.55955,259.63645,3285952.598978806,631.7172
97952.7953,230.38625,179.6699,3285832.5066295927,569.98295
99012.67815,394.31845,243.48085,3285439.6575613627,596.3512
99672.12885,493.7952,303.8794,3285476.369653831,714.3685
100383.37545,568.78675,349.0083,3285414.01866924,822.4522
100946.96645,659.5301,403.7341,3285457.876047053,947.78255
101335.06945,768.0625,469.47665,3285544.3117663492,1099.3507
101515.30005,896.49105,547.36885,3285806.574089299,1280.51715
101757.43875,805.3198,587.9702,3286153.7812749,1483.64705
102459.3138,669.85815,429.0644,3286280.443429456,1276.1117
102804.12335,807.6306,491.32895,3286184.0566492807,1149.32615
102923.37,956.53135,581.5092,3286250.8133188505,1349.08615
102764.8729,1131.38155,688.222,3286489.5139065455,1597.6285
97499.3074,1768.0705,1096.6,3291031.569814233,2614.0247
95691.23665,2004.87855,1252.48595,3292725.6427087183,3010.63965
94436.04495,1754.9499,1289.63415,3294417.2037330535,3285.7717
94950.55065,1045.10705,825.7798,3295275.6439685407,2677.5375
96204.8792,638.93795,503.5035,3294880.9396862388,1650.22625
97872.0654,393.8582,308.49185,3293777.2691507135,1004.31335
99613.2269,354.1718,221.8233,3292206.7899342626,624.4796
101228.8884,385.4315,235.9277,3290590.091671446,556.38285
102769.6697,409.5969,249.13485,3288981.8674952886,581.6827
104233.2183,409.94355,263.5721,3287466.5692787594,610.11045
105901.1511,331.23655,202.0971,3285845.72802806,533.65725
107452.5964,347.31315,207.67405,3284159.9288835833,473.72095
108918.32785,358.4766,213.21715,3282525.0032488364,481.421
110463.5544,353.5808,222.2462,3280792.767053233,498.16865
112477.46465,201.4205,149.37195,3278795.5952197793,442.9219
114429.74955,241.3761,140.8028,3276564.342685327,321.8446
116326.8102,281.58065,162.83205,3274344.433456687,354.321
118283.9406,312.3683,179.34185,3272032.842268611,386.7878
120157.2758,363.74365,207.7787,3269770.0964101446,443.66285
121940.05325,435.8942,247.50775,3267513.7293340517,523.56675
123635.553,528.4393,298.31185,3265313.1703605754,625.82545
125174.22785,554.36635,370.2651,3263271.803906123,818.8695
127081.45715,480.62145,286.8115,3261110.5518635977,784.8207
128189.4631,757.86745,421.136,3259148.7799934056,869.2726
128710.27895,1154.73945,640.39455,3257556.1366030416,1306.9937
127411.58105,1937.4942,1078.4157,3257157.761111453,2206.1019
124934.7448,2918.42965,1635.65835,3257601.281993387,3371.8371
121100.3575,4072.51005,2309.3486,3259100.7811281933,4821.13765
116411.33175,4516.7771,3007.92825,3262117.418100203,6628.7967
115049.1286,3118.1291,2290.2916,3265061.250407511,6731.1415
114984.5807,2234.2086,1645.50045,3266095.5985388756,4931.0197
115754.07405,1618.5887,1188.712,3265839.6021175813,3563.06515
116352.13155,1687.60325,995.0947,3264782.9020734066,2628.5813
115568.943,2271.6422,1314.6261,3264079.274976609,2849.0201
113649.77995,2962.6823,1724.817,3264298.023317029,3753.68175
110496.54395,3737.65745,2199.10495,3265599.452517332,4842.9185
108838.8955,3316.2676,2003.42965,3267262.3260422465,5234.3189
105191.02415,3972.32075,2381.85555,3269258.911704002,5398.6749
100282.8733,4465.9761,2726.64965,3272707.398706863,6313.58545
94821.1906,4791.3521,2990.36155,3276953.959403214,7124.51885
93546.74295,2713.89455,2143.2876,3280525.362062755,6744.3576
90995.03145,3327.7218,2120.67125,3281854.7477568504,5514.5522
87607.7835,3663.57805,2362.6898,3284032.4247928895,5908.85005
83926.35255,3720.43475,2439.18325,3286944.901344811,6236.7712
79905.8061,3613.37595,2415.1882,3290460.897396667,6333.466
77332.06885,3252.53215,2202.47575,3292968.0136506665,5890.63775
74840.8642,3131.01895,2148.1938,3294994.62251292,5869.513
73616.18805,2318.2679,1804.73125,3296731.1494245264,5092.0464
74402.47805,1331.30145,1029.4635,3297061.618655815,3640.53615
75049.74485,1212.84285,834.83515,3296078.6965710428,2336.97115
75741.4863,1092.1304,748.1248,3294943.521570768,2049.8218
76576.2913,998.2901,681.00715,3293616.3590834276,1856.1213
77779.28055,898.01405,608.8644,3291929.2535652416,1647.4633
79167.88285,813.49395,547.8547,3290028.0986178652,1469.1323
80917.76565,658.81815,483.1164,3287835.1187793477,1293.4255
83345.1874,341.23865,282.2107,3285263.138974705,960.05525
86001.58225,186.0208,152.55355,3282222.834573194,526.1565
88776.1137,101.72035,82.4858,3278933.8867753632,280.89015
91365.6842,79.62055,52.64835,3275721.4848942864,163.6723
93815.40685,90.02145,56.73845,3272581.915937347,139.99275
96307.67825,95.772,59.75155,3269400.466489061,144.3558
98795.63655,99.1677,61.19755,3266225.4430795354,145.93195
101034.86235,117.5434,74.1726,3263268.6125603155,206.4591
103329.022,152.2138,92.1151,3260232.451155767,214.7753
105672.46755,164.30195,98.63525,3257178.109959372,226.18435
108028.478,166.321,98.92935,3254122.9347135453,223.835
110641.7263,81.75325,60.7383,3250933.94106065,176.6048
113077.4637,92.2778,54.0212,3247789.832843034,127.7323
115258.26165,144.45485,83.6697,3244822.333913644,182.04835
117374.6141,206.8487,118.8145,3241896.11245333,255.98525
119134.51915,344.70375,196.96745,3239207.8690432184,419.9411
120441.5082,569.79255,323.68705,3236830.008520726,685.005
120952.5723,955.878,542.19255,3234994.249255198,1142.7356
121411.28155,1176.45755,746.0556,3233385.609215437,1587.9359
122857.78085,876.97725,577.90525,3231678.8556391764,1643.7165
123353.5319,1293.27775,727.31585,3229885.4757114504,1538.47385
123203.83475,1764.3631,991.12365,3228564.607210937,2059.11735
121992.98875,2410.81795,1359.5425,3228022.22767416,2829.8808
119174.4079,3315.13535,1885.3268,3228667.239891479,3961.79235
114753.8056,4385.66685,2529.438,3230628.409128146,5404.9585
109301.60655,5134.7393,3213.17055,3233896.5349534233,7030.49755
108033.50025,3258.89875,2437.23205,3237065.1520784446,7230.33745
108422.21195,2206.6724,1653.8439,3237753.0133636505,5069.58645
109364.73245,1531.82385,1144.99695,3237235.111987522,3507.33035
110381.59035,1389.36155,857.06835,3235883.149139462,2458.4959
110097.404,1809.8749,1064.01765,3234772.9814570067,2367.0624
108773.50625,2266.797,1338.0929,3234593.92720666,2974.5719
106336.261,2814.9456,1674.8848,3235371.5187014383,3758.68275
104759.5921,2566.67765,1608.0337,3236484.888732827,4387.2768
101685.7042,3181.5143,1926.8223,3237842.6093994803,4449.2407
97641.73385,3727.29305,2292.38425,3240190.353384376,5367.10525
92707.93605,4166.9455,2614.73745,3243571.767962921,6278.7154
90436.85615,2681.46,2120.8459,3247030.8703066483,6418.6992
88570.0858,2540.22765,1640.68215,3248720.842910592,4578.43795
85906.3993,2686.12145,1739.45925,3250341.664667065,4390.9056
83595.00715,2706.28,1770.05355,3251796.7956011468,4527.4709
81366.81305,2680.9781,1772.7311,3253241.727942655,4597.25455
79216.9528,2606.4674,1742.3241,3254684.7612067945,4582.32955
77327.5353,2425.55955,1636.4514,3256047.5310666915,4363.37415
75860.9519,2193.9321,1492.1934,3257072.1167914756,4022.30215
76487.9879,1106.2046,935.03525,3257269.1463588937,3198.78185
76950.2194,1043.1852,708.5885,3256272.4573374703,1999.6482
77628.90105,929.7252,627.69245,3254960.0699414597,1686.47175
78479.21775,831.5527,559.02045,3253446.7314082533,1493.87055
79468.79405,748.10665,500.5864,3251763.881887659,1328.7464
80575.8057,677.618,450.9657,3249941.268481054,1188.9498
81848.6769,599.34785,396.5035,3247959.034967132,1036.56375
83683.24675,298.52705,243.93535,3245735.75940315,798.44465
85761.95225,152.89845,124.8722,3243073.4965044865,428.4534
87895.6925,81.65255,66.13,3240220.8585315347,224.6439
90053.9806,49.23115,35.1209,3237272.2529675653,116.88415
92130.698,51.99155,32.90555,3234339.463722751,82.1047
94213.3805,50.81575,31.7492,3231399.964485023,77.26375
96317.093,45.11885,27.9556,3228443.724899346,67.16765
98378.07645,37.5722,25.50355,3225528.288223963,72.62275
100383.87115,52.6314,32.0329,3222632.5467853113,76.0024
102379.6369,66.6102,40.2776,3219744.900461331,93.14655
104409.10005,70.63535,42.4179,3216834.7232483774,97.03345
106493.5426,43.6213,32.44905,3213912.5014990317,90.5395
108652.38215,28.15665,16.75665,3210904.292807226,43.5745
110612.3066,48.8768,28.56035,3208031.3183152443,63.32445
112632.5174,57.41485,33.3227,3205112.5299300337,73.09855
114581.13805,80.0263,46.20975,3202242.3704811805,100.2387
116397.1873,131.7076,75.60315,3199455.776996797,162.1069
118172.99065,185.1078,105.5038,3196705.6445170664,224.41055
119880.82205,247.4444,139.9534,3194007.7079605646,295.35675
121749.16325,171.57265,122.3087,3191337.3930835887,336.5371
123379.75895,260.98815,146.244,3188696.621126846,319.1117
124812.8448,388.0343,216.0628,3186167.2444841545,444.2348
126248.41255,503.67425,278.86965,3183653.240899161,569.37685
127620.587,629.37115,347.1521,3181184.2516657175,703.3396
128596.0596,844.17705,463.76175,3178974.5280835624,934.9062
129061.36805,1165.7895,639.3306,3177106.345187836,1283.39995
130134.1543,871.42695,604.25815,3175457.275048541,1580.04835
131602.3844,664.1828,461.17365,3173431.7288537733,1282.69
133176.9115,526.3755,363.438,3171184.6684856107,1007.09605
134808.6663,461.69135,291.09765,3168780.684766473,801.2602
135830.06005,765.6448,410.85075,3166425.677048689,813.31565
136278.00485,1158.1707,620.9665,3164464.571427698,1204.43005
135913.63845,1722.9229,923.82455,3163050.1150898775,1790.31235
