S,E,I,R,H
78534.43,3576.58,2176.01,2510788.5605311785,4975.7
77166.75,2436.92,1872.21,2524409.2342834948,5448.21
77312.05,1580.81,1227.79,2536595.5229731486,3938.82
78280.51,1031.92,802.01,2547441.591165391,2570.25
79786.68,684.14,532.68,2557410.9708738555,1685.92
80860.85,887.84,538.52,2567001.8045631074,1297.4
81633.29,1046.97,635.7,2576861.7177637606,1467.93
82105.57,1224.35,738.16,2587023.1880032476,1714.75
82918.82,962.18,724.41,2597407.587168325,1934.99
83329.47,1248.23,746.43,2607645.8650113004,1771.45
83432.42,1451.05,872.47,2618171.6926130634,2017.21
83185.4,1678.34,1016.82,2629051.8391165826,2334.73
83415.03,1291.61,970.99,2640259.5356200365,2613.24
84269.59,1123.41,704.76,2650883.4566073846,2021.11
84628.56,1319.35,796.22,2661288.660155524,1847.13
84578.19,1554.91,940.63,2672026.9669983857,2156.3
83514.04,1955.96,1188.75,2683518.0752984043,2757.11
81822.88,2338.94,1435.8,2695653.850461376,3372.01
79329.42,2729.42,1698.18,2708567.5585551737,4049.6
75589.07,3077.82,1951.05,2722770.0490732826,4788.84
74411.99,2040.16,1622.62,2736355.7319988487,4885.67
73850.14,1921.36,1244.3,2748448.9049033583,3509.29
72961.58,1956.95,1271.13,2760259.387698525,3212.15
72084.64,1948.76,1270.1,2772129.8904940803,3236.95
71586.19,1862.1,1219.67,2783666.707735391,3143.03
71354.59,1765.15,1160.74,2794952.7854427285,2983.39
71219.26,1670.12,1097.91,2806054.524181603,2847.49
71953.37,1051.84,846.95,2816974.93183881,2586.81
73582.54,591.68,488.56,2826862.159109049,1662.29
75541.33,342.26,281.06,2836004.67175418,951.29
77650.38,200.22,164.94,2844722.9545912677,554.22
79779.57,204.29,128.42,2853102.1272661663,344.14
81974.88,202.6,128.88,2861330.5727051646,309.22
84180.75,205.19,128.23,2869402.6304479633,308.49
86385.45,153.42,113.07,2877522.7655226616,303.19
88485.78,166.87,103.05,2885475.253371532,250.97
90519.4,179.1,109.71,2893478.991220415,251.4
92562.1,189.76,113.37,2901246.0881121606,268.63
94753.14,147.18,106.38,2908909.671108769,272.81
96851.14,126.89,78.96,2916458.6067292183,231.73
98584.11,196.92,116.52,2924148.663224174,263.27
99954.04,291.75,172.25,2931997.341093085,379.08
101155.95,476.6,277.97,2939755.132686896,624.25
102110.35,682.81,399.74,2947609.7528582555,881.95
102753.84,910.56,525.75,2955580.854467032,1166.6
102824.83,1233.78,717.58,2963898.6203228002,1583.38
103003.66,1069.57,784.02,2972502.41685954,2072.37
102999.17,1267.53,754.93,2981007.6217805445,1880.19
102533.01,1676.77,979.47,2989239.7881582044,2148.87
101001.04,2187.76,1286.12,2998353.9045358133,2865.62
98255.23,2823.23,1678.94,3008219.1166594927,3784.1
94542.23,3439.34,2086.83,3019021.257793941,4766.25
90302.4,3925.95,2413.7,3030357.450659849,5671.82
87747.64,2878.49,2217.11,3041981.18146424,6180.34
87498.09,1769.28,1395.24,3051832.7784532984,4574
88139.51,1100.99,869.71,3059920.303840695,2856.36
89326.99,689.43,539.4,3066905.7583347554,1785.2
90338.5,739.62,458.48,3073168.733220897,1194.75
91109.03,812.25,501.54,3079472.648602003,1207.11
91874.49,879.39,544.72,3085547.677900001,1304.8
92791.87,729.13,535.39,3091738.0675490373,1376.31
93888.47,756.77,468.5,3097337.0061720773,1181.18
94774,845.04,516.36,3102971.6347951656,1223.86
95443.35,948.31,579.35,3108545.126333386,1366.29
96233.58,823.42,606.97,3114212.3591970843,1523.4
97576.07,630.35,410.31,3119423.973692377,1260.88
98305.59,782.63,472.62,3124543.682809366,1103.4
98665.6,1013.1,611.24,3129736.573785063,1424.16
98614.11,1267.28,774.52,3135142.959565909,1778.2
97815.19,1582.52,963.67,3141120.7029017825,2236.14
96668.3,1887.78,1151.09,3147262.012858566,2684.74
95284.49,2114.43,1307.84,3153710.9045219077,3070.46
94728.75,1585.06,1211.84,3160100.066164655,3338.2
95031.83,1424.64,893.6,3165483.697807449,2504.05
95074.08,1548.17,961.93,3170194.542960712,2275.46
94292.64,1738.22,1079.98,3175603.093799625,2559.47
93325.82,1909.87,1182.46,3181020.30672471,2852
92092.21,2063.13,1298.38,3186653.3142715623,3101.43
91030.21,2181.66,1368.79,3192034.510934922,3331.19
90776.44,1616.41,1249.85,3197380.6226998847,3437.41
91784.05,979.89,777.74,3201777.439067972,2529.03
93157.08,606.49,478.38,3205231.1025612783,1569.49
94725.95,380.97,301.58,3208152.0546010328,966.61
95959.42,393.19,246.57,3210867.297334341,645.44
96678.61,427.97,258.99,3213984.161012965,628.27
97090.17,442.86,273.56,3217207.2604965363,643.76
97455.27,351.15,253.03,3220618.519980101,636.42
98717.43,333.94,203.39,3222870.665523883,526.96
100117.59,367.09,223.18,3224846.089267904,518.58
101297.36,436.16,264.85,3226813.0858957237,612.85
102343.91,437.93,311.02,3228917.731411908,754.32
104095.58,281.69,193.52,3230511.5429564975,609.44
104600.32,450.13,268.45,3232739.6290223305,625.79
105168.72,601.39,359.18,3234819.802147433,824.12
105647.59,773.01,462.89,3236826.272609659,1049.15
106308.76,928.51,554.81,3238631.953409244,1246.57
106228.43,1147.3,685.6,3240915.50338281,1552.67
105456.35,1478.87,887.8,3243696.781351374,1997.79
104979.54,1312.87,958.85,3246621.125950273,2429.11
104956.72,1212.25,757.31,3249298.690549167,2139.14
104338.84,1456.66,878.75,3251734.8149200664,1996.85
103124.52,1776.56,1073.43,3254594.579258372,2459.91
101152.64,2162.67,1316.96,3257967.2449008017,3039.33
98596.76,2532.81,1554.06,3261891.004093346,3666.21
95714.8,2828.39,1758.83,3266154.3605013657,4181.76
93575.03,2347.93,1758.6,3270572.6896622265,4574.41
93456.93,1422.42,1123.73,3273989.2263298463,3667.11
94098.78,877.17,694.59,3275950.04057316,2290.85
95154.93,548.16,433.48,3277083.366994552,1415.67
96220.94,516.73,325.68,3277622.9214350027,913.57
97063.79,562.08,352.4,3278173.6471045404,838.8
97834.48,607.47,377.02,3278644.9968562652,895.63
98590.32,586.62,402.44,3279196.6366080046,969.52
